N7216,"Contractors and Supervisors, Mechanic Trades","7216 - Contractors and Supervisors, Mechanic Trades"
N7217,"Contractors and Supervisors, Heavy Construction Equipment Crews","7217 - Contractors and Supervisors, Heavy Construction Equipment Crews"
N7219,"Contractors and Supervisors, Other Construction Trades, Installers, Repairers and Servicers","7219 - Contractors and Supervisors, Other Construction Trades, Installers, Repairers and Servicers"
N7220,"Supervisors, Railway And Motor Transportation Occupations","7221 - Supervisors, Railway Transport Operations; 7222 - Supervisors, Motor Transport and Other Ground Transit Operators"
N7230,"Machinists And Related Occupations","7231 - Machinists and Machining and Tooling Inspectors; 7232 - Tool and Die Makers"
N7241,"Electricians (except Industrial and Power System)","7241 - Electricians (except Industrial and Power System)"
N7242,"Industrial & Power System Electricians","7242 - Industrial Electricians; 7243 - Power System Electricians"
N7244,"Electrical Power Line & Telecommunications Line and Cable Workers","7244 - Electrical Power Line and Cable Workers; 7245 - Telecommunications Line and Cable Workers"
N7246,"Telecommunications Installation and Repair Workers & Cable Television Service and Maintenance Technicians","7246 - Telecommunications Installation and Repair Workers; 7247 - Cable Television Service and Maintenance Technicians"
N7251,"Plumbers","7251 - Plumbers"
N7252,"Steamfitters, Pipefitters and Sprinkler System Installers & Gas Fitters","7252 - Steamfitters, Pipefitters and Sprinkler System Installers; 7253 - Gas Fitters"
N7261,"Metal Forming, Shaping And Erecting Occupations (except Welders)","7261 - Sheet Metal Workers; 7262 - Boilermakers; 7263 - Structural Metal and Platework Fabricators and Fitters; 7264 - Ironworkers ; 7266 - Blacksmiths and Die Setters"
N7265,"Welders and Related Machine Operators","7265 - Welders and Related Machine Operators "
N7271,"Carpenters","7271 - Carpenters"
N7272,"Cabinetmakers","7272 - Cabinetmakers"
N7281,"Bricklayers","7281 - Bricklayers"
N7282,"Cement Finishers & Tilesetters","7282 - Cement Finishers; 7283 - Tilesetters"
N7284,"Plasterers, Drywall Installers and Finishers, and Lathers","7284 - Plasterers, Drywall Installers and Finishers, and Lathers"
N7291,"Roofers and Shinglers, Glaziers & Insulators","7291 - Roofers and Shinglers; 7292 - Glaziers; 7293 - Insulators"
N7294,"Painters and Decorators","7294 - Painters and Decorators"
N7295,"Floor Covering Installers","7295 - Floor Covering Installers"
N7311,"Construction Millwrights and Industrial Mechanics (except Textile)","7311 - Construction Millwrights and Industrial Mechanics (except Textile)"
N7312,"Heavy-Duty Equipment Mechanics","7312 - Heavy-Duty Equipment Mechanics"
N7313,"Refrigeration and Air Conditioning Mechanics & Elevator Constructors and Mechanics","7313 - Refrigeration and Air Conditioning Mechanics; 7316 - Machine Fitters; 7317 - Textile Machinery Mechanics and Repairers; 7318 - Elevator Constructors and Mechanics"
N7314,"Railway Carmen/women & Aircraft Mechanics and Aircraft Inspectors","7314 - Railway Carmen/women; 7315 - Aircraft Mechanics and Aircraft Inspectors"
N7321,"Motor Vehicle Mechanics, Technicians and Mechanical Repairers","7321 - Motor Vehicle Mechanics, Technicians and Mechanical Repairers"
N7322,"Motor Vehicle Body Repairers","7322 - Motor Vehicle Body Repairers"
N7330,"Other Mechanics","7331 - Oil and Solid Fuel Heating Mechanics; 7332 - Electric Appliance Servicers and Repairers; 7333 - Electrical Mechanics ; 7334 - Motorcycle and Other Related Mechanics; 7335 - Other Small Engine and Equipment Mechanics"
N7340,"Upholsterers, Tailors, Shoe Repairers, Jewellers And Related Occupations","7341 - Upholsterers; 7342 - Tailors, Dressmakers, Furriers and Milliners; 7343 - Shoe Repairers and Shoemakers; 7344 - Jewellers, Watch Repairers and Related Occupations"
N7350,"Stationary Engineers And Power Station And System Operators","7351 - Stationary Engineers and Auxiliary Equipment Operators; 7352 - Power Systems and Power Station Operators"
N7360,"Train Crew Operating Occupations","7361 - Railway and Yard Locomotive Engineers; 7362 - Railway Conductors and Brakemen/women"
N7370,"Crane Operators, Drillers And Blasters","7371 - Crane Operators; 7372 - Drillers and Blasters - Surface Mining, Quarrying and Construction; 7373 - Water Well Drillers"
N7380,"Printing Press Operators, Commercial Divers And Other Trades, And Related Occupations,","7381 - Printing Press Operators; 7382 - Commercial Divers; 7383 - Other Trades and Related Occupations"
N7411,"Truck Drivers","7411 - Truck Drivers"
N7412,"Bus Drivers and Subway and Other Transit Operators","7412 - Bus Drivers and Subway and Other Transit Operators"
N7413,"Taxi and Limousine Drivers and Chauffeurs","7413 - Taxi and Limousine Drivers and Chauffeurs"
N7414,"Delivery Drivers","7414 - Delivery Drivers"
N7421,"Heavy Equipment Operators (except Crane)","7421 - Heavy Equipment Operators (except Crane)"
N7422,"Public Works Maintenance Equipment Operators","7422 - Public Works Maintenance Equipment Operators"
N7430,"Other Transport Equipment Operators And Related Workers","7431 - Railway Yard Workers; 7432 - Railway Track Maintenance Workers; 7433 - Deck Crew, Water Transport; 7434 - Engine Room Crew, Water Transport; 7435 - Lock and Cable Ferry Operators and Related Occupations; 7436 - Boat Operators"
N7441,"Residential and Commercial Installers and Servicers","7441 - Residential and Commercial Installers and Servicers"
N7442,"Other Installers, Repairers and Services","7442 - Waterworks and Gas Maintenance Workers; 7443 - Automotive Mechanical Installers and Servicers; 7444 - Pest Controllers and Fumigators; 7445 - Other Repairers and Servicers"
N7450,"Longshore Workers And Material Handlers","7451 - Longshore Workers; 7452 - Material Handlers"
N7610,"Trades Helpers And Labourers","7611 - Construction Trades Helpers and Labourers; 7612 - Other Trades Helpers and Labourers"
N7620,"Public Works And Other Labourers, N.E.C.","7621 - Public Works and Maintenance Labourers; 7622 - Railway and Motor Transport Labourers"
N8211,"Supervisors, Logging and Forestry","8211 - Supervisors, Logging and Forestry"
N8220,"Supervisors, Mining, Oil And Gas","8221 - Supervisors, Mining and Quarrying; 8222 - Supervisors, Oil and Gas Drilling and Service"
N8231,"Underground Production and Development Miners","8231 - Underground Production and Development Miners"
N8232,"Oil and Gas Well Drillers, Servicers, Testers and Related Workers","8232 - Oil and Gas Well Drillers, Servicers, Testers and Related Workers"
N8241,"Logging Machinery Operators","8241 - Logging Machinery Operators"
N8251,"Farmers and Farm Managers & Other Agricultural Supervisors and Managers","8251 - Farmers and Farm Managers; 8252 - Agricultural and Related Service Contractors and Managers; 8253 - Farm Supervisors and Specialized Livestock Workers; 8254 - Nursery and Greenhouse Operators and Managers; 8257 - Aquaculture Operators and Managers"
N8255,"Landscaping and Grounds Maintenance Contractors and Managers & Supervisors, Landscape and Horticulture","8255 - Landscaping and Grounds Maintenance Contractors and Managers; 8256 - Supervisors, Landscape and Horticulture"
N8260,"Fishing Vessel Masters And Skippers And Fishermen/Women","8261 - Fishing Masters and Officers; 8262 - Fishing Vessel Skippers and Fishermen/women"
